iter	Passed	Remaining
1211	63868	41524
1212	63909	41464
1213	63953	41406
1214	63997	41348
1215	64042	41290
1216	64086	41232
1217	64129	41173
1218	64171	41113
1219	64209	41052
1220	64253	40993
1221	64296	40935
1222	64337	40875
1223	64375	40812
1224	64415	40752
1225	64458	40693
1226	64505	40637
1227	64546	40577
1228	64588	40518
1229	64629	40459
1230	64673	40401
1231	64717	40343
1232	64761	40285
1233	64799	40223
1234	64836	40161
1235	64879	40103
1236	64919	40043
1237	64961	39984
1238	65004	39926
1239	65049	39868
1240	65098	39814
1241	65154	39763
1242	65207	39711
1243	65248	39652
1244	65292	39595
1245	65336	39537
1246	65384	39482
1247	65434	39428
1248	65478	39371
1249	65522	39313
1250	65568	39257
1251	65606	39196
1252	65646	39136
1253	65691	39079
1254	65735	39022
1255	65794	38973
1256	65847	38921
1257	65890	38863
1258	65947	38814
1259	66004	38764
1260	66054	38710
1261	66103	38656
1262	66156	38604
1263	66205	38549
1264	66249	38492
1265	66290	38433
1266	66333	38375
1267	66374	38317
1268	66421	38261
1269	66461	38202
1270	66501	38143
1271	66542	38083
1272	66579	38023
1273	66619	37963
1274	66660	37905
1275	66701	37846
1276	66740	37786
1277	66783	37729
1278	66824	37670
1279	66866	37612
1280	66910	37555
1281	66948	37495
1282	66987	37435
1283	67028	37377
1284	67069	37318
1285	67110	37260
1286	67154	37203
1287	67195	37145
1288	67235	37086
1289	67275	37027
1290	67312	36967
1291	67349	36906
1292	67393	36850
1293	67431	36790
1294	67473	36732
1295	67514	36674
1296	67555	36616
1297	67599	36559
1298	67641	36502
1299	67681	36443
1300	67726	36387
1301	67782	36338
1302	67823	36280
1303	67865	36222
1304	67911	36167
1305	67952	36109
1306	67993	36051
1307	68038	35996
1308	68077	35936
1309	68114	35877
1310	68158	35820
1311	68203	35765
1312	68246	35708
1313	68290	35652
1314	68346	35602
1315	68395	35548
1316	68442	35494
1317	68499	35445
1318	68547	35391
1319	68594	35336
1320	68636	35279
1321	68682	35224
